Idx,q_sum0,q_sum1,q_sum2
18000,22.62702218055725,23.605694675445555,20.372434463500976
18100,26.981524066925047,24.43473819732666,23.028102493286134
18200,22.60050226211548,20.650501556396485,18.958030281066893
18300,20.75855806350708,20.608880443573,25.122009773254394
18400,23.490202178955077,24.51243377685547,24.320760746002197
18500,19.10107957839966,21.239803943634033,23.511396961212156
18600,26.958385791778564,20.080044946670533,23.582437381744384
18700,22.97184986114502,21.014627685546873,22.607613983154298
18800,29.464055080413818,23.049236526489256,24.47576986312866
18900,26.65906566619873,25.787870140075682,22.117707786560057
19000,21.68046522140503,25.590289039611818,27.293743839263914
19100,21.483086013793944,21.10896269798279,21.032608757019045
19200,26.754188652038575,18.3608073425293,21.14610336303711
19300,27.143653621673582,23.575857124328614,24.67466651916504
19400,25.864097042083742,22.405366744995117,22.115068740844727
19500,25.615278091430664,25.162006740570067,26.753534984588622
19600,28.345768241882325,18.55729384422302,26.403041801452638
19700,26.41360891342163,21.888489389419554,20.565329399108887
19800,23.095296001434328,20.250579080581666,26.445443286895753
19900,21.860918674468994,23.011813259124757,23.54814088821411
20000,24.400853576660158,25.598570709228515,19.7681831073761
20100,28.340741138458252,24.30498453140259,19.66105712890625
20200,26.084437465667726,24.657475070953367,27.732106132507326
20300,21.520389881134033,27.93169246673584,20.1742879486084
20400,23.484950141906737,25.25026689529419,21.787357873916626
20500,26.91071422576904,21.976666221618654,21.582188138961794
20600,23.724415950775146,21.586194400787353,21.703886299133302
20700,22.281929569244383,20.65165099143982,21.38701000213623
20800,25.534405212402344,23.657042694091796,22.252978496551513
20900,28.159420852661132,24.14375394821167,27.077757415771483
21000,22.319511909484863,21.23520290374756,24.164462451934813
21100,29.983068771362305,25.047524404525756,26.874480648040773
21200,25.939752597808837,24.49068636894226,25.009037055969237
21300,25.32053991317749,20.9198211479187,28.610179824829103
21400,22.026692752838134,25.216962966918945,21.093425006866454
21500,28.88277349472046,21.97578884124756,23.576358699798583
21600,25.563680248260496,22.611874465942382,23.879023780822752
21700,24.276812705993652,18.558476581573487,23.43988229751587
21800,23.837758159637453,22.858557929992674,23.359425716400146
21900,30.639539184570314,26.142632217407225,23.889085445404053
22000,23.112314472198488,21.83899335861206,29.41777551651001
