Idx,q_sum0,q_sum1,q_sum2
10400,19.95750743865967,24.09968439102173,21.639226922988893
10500,15.883325519561767,23.431680212020876,24.487335662841797
10600,18.370523176193238,17.761663789749147,19.979878425598145
10700,21.180762271881104,18.210469312667847,24.19996829032898
10800,23.938319282531737,16.246349716186522,22.388509101867676
10900,22.66219793319702,21.698551540374755,23.167124338150025
11000,19.394216222763063,23.636924571990967,18.540989294052125
11100,19.750594673156737,22.511033010482787,18.92078622817993
11200,19.10165258407593,19.79396650314331,19.91821422576904
11300,15.405746908187867,17.182364778518675,18.515030517578126
11400,15.972340745925903,17.853041858673095,17.834342489242555
11500,19.109783172607422,22.455071926116943,17.818601455688476
11600,19.361059217453004,18.75057258605957,22.74155867576599
11700,17.136616373062132,17.712580881118775,17.48856707572937
11800,20.305961828231812,20.254144010543822,19.586656818389894
11900,21.18652837753296,17.924345817565918,18.322788963317873
12000,23.315956630706786,16.126668968200683,22.478126401901246
12100,23.673198451995848,21.648714694976807,25.072641010284425
12200,18.6506468296051,19.80923490524292,20.88147171974182
12300,24.792302236557006,20.8704475402832,21.609404726028444
12400,17.93455237388611,21.373541650772093,23.23867769241333
12500,17.011067571640016,22.785368185043335,18.230424575805664
12600,21.67722854614258,18.657285308837892,23.91946879386902
12700,23.955722980499267,23.21567543029785,22.658209133148194
12800,17.808478298187257,21.90232894897461,17.93374568939209
12900,19.911974792480468,21.960759305953978,19.070060806274412
13000,22.786239986419677,17.736780729293823,22.1366774559021
13100,21.120085649490356,17.96437463760376,18.33533908843994
13200,20.017546825408935,17.53584217071533,17.34146132469177
13300,22.154918489456175,18.232576427459716,15.967865610122681
13400,21.079133291244506,21.847356853485106,18.482815380096437
13500,24.800904235839845,25.29868501663208,23.75406970977783
13600,16.59444695472717,17.69131799697876,18.09498237609863
13700,16.225762939453126,22.12320264816284,20.052790889739992
13800,18.89444272994995,23.514754199981688,19.668492431640626
13900,23.9695822429657,21.660681381225587,17.34266644477844
14000,19.420391616821288,22.690926151275633,19.18642024040222
14100,24.35948306083679,22.69869539260864,20.505616998672487
14200,20.358538875579836,18.91989493370056,19.728134536743163
14300,21.57783501625061,20.292890510559083,20.087545051574708
14400,19.64087191581726,23.381794357299803,21.42032558441162
14500,20.930821981430054,22.0742244720459,23.98035521507263
14600,19.509404191970827,19.6409072971344,17.55239601135254
14700,21.797724838256837,23.448466205596922,18.87222936630249
14800,24.80564667701721,23.83047525405884,21.295610599517822
14900,22.944796390533448,20.291646509170533,23.062431306838988
15000,19.57812378883362,18.329237051010132,24.582904624938966
15100,19.88921154975891,18.89926933288574,22.12943549156189
15200,20.60188052177429,22.459390230178833,21.507955389022825
15300,24.68358768463135,18.977327327728272,19.937013273239135
15400,21.796137800216673,18.087192716598512,22.154568243026734
15500,20.997983388900757,20.38984278678894,14.45174168586731
15600,25.58437911987305,26.295946617126464,22.83309986114502
15700,23.75879295349121,25.79284044265747,20.39138207435608
15800,18.678058671951295,18.10956647872925,21.65723864555359
15900,23.212157974243166,18.009391479492187,23.900818128585815
16000,23.606907444000242,18.235492553710937,21.819680080413818
16100,21.97028730392456,20.74601592063904,18.021130113601686
16200,20.697454500198365,17.80372281074524,20.27863292694092
16300,20.235257968902587,24.346587324142455,24.36325611114502
16400,18.262364130020142,21.197613916397096,22.750192193984986
16500,19.473143911361696,18.577423448562623,19.20348738670349
16600,21.56962957382202,17.32109758377075,22.971421155929566
16700,18.556432285308837,17.262116088867188,21.101443796157838
16800,19.753724384307862,20.7353688621521,22.549334087371825
16900,20.018972911834716,21.99638374328613,24.059806594848634
17000,20.727361259460448,16.104978799819946,20.60941731452942
17100,24.02588725090027,15.483740386962891,19.404483613967894
17200,21.22200566291809,20.304514894485475,23.811802644729614
17300,26.8803582572937,22.59311329841614,19.373510065078737
17400,22.996097011566164,24.660353202819824,21.588618412017823
17500,18.786660804748536,17.46693612098694,21.379312677383425
