Idx,win_rate0,win_rate1,win_rate2
677000,0.67,0.71,0.77
678000,0.69,0.69,0.75
679000,0.67,0.71,0.75
680000,0.66,0.69,0.76
681000,0.66,0.71,0.75
682000,0.67,0.72,0.75
683000,0.67,0.7,0.75
684000,0.67,0.68,0.74
685000,0.69,0.67,0.74
686000,0.69,0.67,0.76
687000,0.72,0.67,0.74
688000,0.75,0.69,0.76
689000,0.76,0.69,0.76
690000,0.76,0.69,0.79
691000,0.78,0.7,0.77
692000,0.76,0.74,0.77
693000,0.77,0.72,0.8
694000,0.8,0.7,0.79
695000,0.81,0.74,0.76
696000,0.81,0.75,0.72
697000,0.82,0.77,0.71
698000,0.84,0.77,0.67
699000,0.83,0.77,0.67
700000,0.81,0.75,0.65
701000,0.8,0.76,0.64
702000,0.79,0.76,0.65
703000,0.79,0.74,0.65
704000,0.79,0.71,0.64
705000,0.8,0.73,0.66
706000,0.82,0.71,0.66
707000,0.8,0.75,0.64
708000,0.77,0.74,0.65
709000,0.8,0.72,0.66
710000,0.8,0.72,0.69
711000,0.78,0.71,0.69
712000,0.76,0.76,0.73
713000,0.76,0.77,0.74
714000,0.79,0.77,0.77
715000,0.79,0.76,0.77
716000,0.78,0.77,0.79
717000,0.79,0.77,0.78
718000,0.79,0.78,0.79
719000,0.79,0.74,0.8
720000,0.76,0.73,0.79
721000,0.74,0.71,0.81
722000,0.74,0.72,0.84
723000,0.74,0.7,0.86
724000,0.74,0.69,0.84
725000,0.74,0.7,0.83
726000,0.74,0.7,0.83
727000,0.74,0.72,0.82
728000,0.72,0.73,0.84
729000,0.73,0.73,0.84
730000,0.73,0.73,0.83
731000,0.69,0.76,0.85
732000,0.68,0.78,0.86
733000,0.71,0.77,0.85
734000,0.72,0.79,0.82
735000,0.7,0.79,0.8
736000,0.69,0.79,0.77
737000,0.71,0.77,0.77
738000,0.67,0.75,0.79
739000,0.68,0.76,0.78
740000,0.68,0.77,0.77
741000,0.69,0.77,0.79
742000,0.69,0.76,0.78
743000,0.73,0.73,0.77
744000,0.73,0.72,0.77
745000,0.74,0.74,0.77
746000,0.73,0.76,0.74
747000,0.75,0.73,0.74
748000,0.76,0.73,0.77
749000,0.79,0.72,0.79
750000,0.8,0.74,0.81
751000,0.77,0.72,0.79
752000,0.79,0.69,0.81
753000,0.78,0.7,0.81
754000,0.78,0.67,0.8
755000,0.77,0.72,0.8
756000,0.78,0.73,0.8
757000,0.79,0.72,0.77
758000,0.78,0.72,0.78
759000,0.79,0.72,0.79
760000,0.8,0.71,0.8
761000,0.79,0.75,0.78
762000,0.78,0.73,0.74
763000,0.75,0.74,0.74
764000,0.73,0.75,0.76
765000,0.72,0.74,0.76
766000,0.72,0.74,0.77
767000,0.75,0.75,0.76
768000,0.73,0.73,0.77
769000,0.71,0.72,0.76
770000,0.7,0.74,0.72
771000,0.68,0.76,0.72
772000,0.69,0.75,0.7
773000,0.7,0.73,0.71
774000,0.69,0.71,0.75
775000,0.69,0.73,0.75
776000,0.7,0.72,0.74
777000,0.7,0.73,0.73
778000,0.72,0.75,0.72
779000,0.73,0.78,0.7
780000,0.7,0.74,0.72
781000,0.7,0.74,0.75
782000,0.72,0.75,0.77
783000,0.76,0.73,0.76
784000,0.75,0.72,0.78
785000,0.77,0.74,0.78
786000,0.75,0.74,0.76
787000,0.74,0.73,0.75
788000,0.74,0.7,0.75
789000,0.73,0.67,0.74
790000,0.73,0.67,0.76
791000,0.75,0.68,0.78
792000,0.73,0.71,0.79
793000,0.76,0.7,0.79
794000,0.77,0.71,0.81
795000,0.78,0.73,0.81
796000,0.76,0.72,0.82
797000,0.75,0.72,0.81
798000,0.76,0.73,0.81
799000,0.75,0.73,0.81
800000,0.77,0.74,0.83
801000,0.79,0.74,0.83
802000,0.81,0.74,0.83
803000,0.83,0.73,0.81
804000,0.84,0.73,0.8
805000,0.83,0.75,0.81
806000,0.83,0.76,0.8
807000,0.85,0.72,0.78
808000,0.85,0.71,0.78
809000,0.86,0.72,0.78
810000,0.84,0.71,0.81
811000,0.86,0.69,0.8
812000,0.85,0.68,0.8
813000,0.86,0.69,0.78
814000,0.84,0.68,0.8
815000,0.84,0.68,0.77
816000,0.84,0.7,0.78
817000,0.85,0.69,0.74
818000,0.81,0.66,0.74
819000,0.83,0.68,0.74
820000,0.84,0.69,0.76
821000,0.84,0.67,0.75
822000,0.81,0.65,0.76
823000,0.8,0.71,0.77
824000,0.81,0.72,0.75
825000,0.81,0.71,0.77
826000,0.8,0.72,0.78
827000,0.8,0.73,0.78
828000,0.78,0.73,0.8
829000,0.74,0.72,0.83
830000,0.72,0.74,0.84
831000,0.72,0.74,0.81
832000,0.74,0.73,0.82
833000,0.72,0.74,0.81
834000,0.71,0.75,0.8
835000,0.74,0.76,0.79
836000,0.72,0.76,0.78
837000,0.73,0.76,0.78
838000,0.71,0.77,0.79
839000,0.68,0.75,0.78
840000,0.69,0.71,0.79
841000,0.68,0.73,0.77
842000,0.72,0.73,0.77
843000,0.72,0.75,0.78
844000,0.73,0.76,0.78
845000,0.73,0.75,0.78
846000,0.72,0.76,0.79
847000,0.75,0.74,0.8
848000,0.75,0.74,0.78
849000,0.75,0.76,0.81
850000,0.77,0.74,0.81
851000,0.8,0.77,0.81
852000,0.82,0.81,0.79
853000,0.83,0.82,0.76
854000,0.83,0.82,0.77
855000,0.82,0.81,0.77
856000,0.82,0.81,0.77
857000,0.81,0.81,0.76
858000,0.81,0.81,0.75
859000,0.79,0.78,0.76
860000,0.77,0.76,0.78
861000,0.77,0.75,0.79
862000,0.74,0.75,0.76
863000,0.71,0.76,0.75
864000,0.7,0.75,0.78
865000,0.69,0.73,0.79
866000,0.69,0.7,0.79
867000,0.68,0.71,0.78
868000,0.71,0.7,0.79
869000,0.73,0.67,0.77
870000,0.72,0.65,0.78
871000,0.72,0.63,0.79
872000,0.75,0.62,0.79
873000,0.75,0.65,0.78
874000,0.74,0.66,0.81
875000,0.71,0.66,0.82
876000,0.72,0.67,0.78
877000,0.71,0.68,0.81
878000,0.71,0.7,0.81
879000,0.69,0.66,0.82
880000,0.7,0.66,0.8
881000,0.69,0.67,0.78
882000,0.69,0.69,0.76
883000,0.68,0.71,0.75
884000,0.68,0.73,0.75
885000,0.65,0.75,0.74
886000,0.65,0.75,0.74
887000,0.64,0.75,0.74
888000,0.67,0.74,0.75
889000,0.71,0.74,0.79
890000,0.72,0.76,0.76
891000,0.71,0.73,0.76
892000,0.71,0.74,0.73
893000,0.72,0.73,0.71
894000,0.72,0.71,0.7
895000,0.71,0.72,0.73
896000,0.73,0.73,0.75
897000,0.73,0.72,0.74
898000,0.71,0.71,0.73
899000,0.71,0.71,0.72
900000,0.74,0.71,0.72
901000,0.73,0.73,0.68
902000,0.75,0.71,0.66
903000,0.73,0.73,0.68
904000,0.73,0.75,0.68
905000,0.74,0.76,0.71
906000,0.74,0.74,0.7
907000,0.76,0.74,0.72
908000,0.76,0.77,0.7
909000,0.76,0.77,0.68
